sst_mean,sst_max,sst_min,sst_std,par_mean,par_max,par_min,par_std,kd_490_mean,kd_490_max,kd_490_min,kd_490_std,month_sin,month_cos,co2_ppm,time,pred_chlor_a_mean,pred_poc_mean,bleaching_risk
25.510307,29.515003,19.86653,1.2796383,37.36465,44.6325,26.28862,2.2515008,0.041154623,1.0513194,0.021758318,0.03134051,-0.46117872,-0.6878244,416.2859,2032-07-31 00:45:01.884,0.23277397,59.094856,0
25.476595,29.478937,20.78926,1.1620966,42.499485,48.91426,29.802982,2.2044878,0.04020334,1.4344004,0.02191128,0.03368035,-0.77861744,-0.4597136,414.13947,2032-08-31 00:45:01.884,0.20849723,58.492386,0
25.930332,30.271666,22.38239,1.0052273,49.668896,55.443024,34.8016,2.558525,0.039161813,2.317711,0.02121658,0.040958423,-0.9022782,-0.0033282442,409.0373,2032-09-30 00:45:01.884,0.20275886,56.64229,0
26.860693,31.364138,23.807728,0.9521953,53.975433,60.980255,39.376328,2.898423,0.03874584,2.185164,0.020479394,0.03775163,-0.78142875,0.4562825,409.92172,2032-10-31 00:45:01.884,0.20500949,55.328445,0
27.952034,32.145683,25.031578,0.95321935,54.472004,62.98443,40.53279,3.356095,0.03805762,1.4676986,0.019936038,0.03308898,-0.32860985,0.80374604,409.1231,2032-11-30 00:45:01.884,0.19876772,52.757866,1
28.694729,32.738186,26.045723,0.93692034,52.369762,63.055645,36.36654,3.9338672,0.03798874,0.8755348,0.01886842,0.03082157,0.20118824,0.89842,407.31665,2032-12-31 00:45:01.884,0.18387827,52.27963,1
29.001509,33.26683,26.331242,0.8484306,50.26208,61.321575,32.06493,4.4138074,0.04024562,1.4110556,0.018352846,0.04120231,0.62507194,0.7596699,409.95377,2033-01-31 00:45:01.884,0.19993334,55.847702,0
28.719944,33.14774,26.428907,0.7469077,48.733833,59.00344,31.557451,3.8489456,0.04523594,2.8142345,0.01919486,0.07252758,0.7205875,0.4121464,410.50208,2033-02-28 00:45:01.884,0.2792996,64.91247,0
28.717985,33.128708,26.558666,0.7692584,47.80974,55.29565,32.337833,3.2676642,0.045632567,3.0570705,0.019727997,0.07623415,0.82800984,0.08484858,411.0356,2033-03-31 00:45:01.884,0.28600904,64.64705,0
28.040504,32.077442,24.990463,0.9286801,42.12124,49.158504,29.397259,2.9457948,0.045980986,2.4326215,0.019743279,0.058003508,0.76902276,-0.5687618,412.80615,2033-04-30 00:45:01.884,0.2933799,67.558304,0
26.648115,30.68522,21.610048,1.1386346,35.819885,43.38895,25.87934,2.804837,0.044586066,1.802254,0.020179147,0.04636476,0.35817257,-0.90502125,414.41144,2033-05-31 00:45:01.884,0.27780333,66.94628,0
25.462744,29.098389,19.048,1.3291506,34.53909,41.458664,25.368752,2.249198,0.042761482,1.8557034,0.021563504,0.03802001,-0.3321536,-0.96898586,415.12137,2033-06-30 00:45:01.884,0.2519969,63.867546,0
25.167126,28.669605,19.159712,1.444494,37.406242,43.954784,27.454313,1.9865571,0.04253296,1.8960508,0.022822278,0.03341332,-0.71764576,-0.72062004,416.81845,2033-07-31 00:45:01.884,0.24837299,63.18256,0
25.299026,28.628649,20.496717,1.3160281,43.357124,49.431362,31.356722,2.004695,0.041589107,2.220208,0.023225881,0.03567289,-0.97842264,-0.36227164,415.44577,2033-08-31 00:45:01.884,0.22706434,60.988625,0
25.844501,29.297333,22.452358,1.0668219,51.211594,56.439674,36.901676,2.4037538,0.04043988,2.8191233,0.022155514,0.042148203,-1.1240237,0.083436705,413.38278,2033-09-30 00:45:01.884,0.21510811,57.793415,0
26.751417,30.5615,23.846067,0.8974268,55.493446,60.436813,39.57062,2.9600024,0.03929953,2.2705405,0.021094179,0.038573142,-0.9426784,0.39970022,411.19656,2033-10-31 00:45:01.884,0.19783092,56.0295,1
27.851183,31.571213,25.01123,0.85900086,53.90775,62.218353,40.34999,3.5500958,0.038353615,1.4809729,0.020090308,0.038409665,-0.40320274,0.7171471,407.28653,2033-11-30 00:45:01.884,0.20208138,53.04099,0
28.375423,32.41728,25.740616,0.7903506,50.839672,61.361835,36.94807,3.790915,0.040223114,1.8669481,0.019506328,0.04872282,0.11992471,0.8074439,409.2358,2033-12-31 00:45:01.884,0.20367439,56.23382,0
28.706291,32.64582,26.198893,0.6864009,49.77986,60.869926,35.896095,3.5524273,0.043259073,2.5674455,0.020062093,0.06541219,0.44795716,0.60691255,409.93866,2034-01-31 00:45:01.884,0.23690133,59.63385,0
29.07508,32.40012,26.327063,0.617646,49.93246,59.59081,35.49862,3.2752833,0.0444436,2.5594158,0.020949803,0.06499332,0.7312205,0.34860277,408.89957,2034-02-28 00:45:01.884,0.25733617,61.673546,0
29.00943,31.92444,26.118021,0.5791349,48.675213,55.279354,34.367245,2.8215692,0.044685267,2.3167214,0.021592861,0.053599827,0.9032141,-0.03563735,409.83286,2034-03-31 00:45:01.884,0.27060732,63.472492,0
28.160606,31.037428,24.874836,0.68427545,42.673847,49.72616,32.68835,2.4915419,0.044772748,1.8381257,0.02156187,0.044318922,0.77798516,-0.4963462,413.1467,2034-04-30 00:45:01.884,0.27314985,64.82991,0
26.804415,29.959686,22.652475,0.8801897,36.101597,45.210773,29.694048,2.4344962,0.044494048,1.4433059,0.021450229,0.038908403,0.44431674,-0.74461687,415.21082,2034-05-31 00:45:01.884,0.2758745,66.0654,0
25.555866,29.058008,20.50967,1.0344025,33.317642,41.234085,26.607634,2.3800473,0.04356571,1.3517877,0.02181057,0.03528945,0.04608868,-0.9140652,415.80756,2034-06-30 00:45:01.884,0.26355675,65.76377,0
24.810335,28.367332,19.902369,1.1350061,34.792477,41.306793,27.343206,2.3768075,0.042985994,1.5238107,0.022899147,0.034711294,-0.35400563,-0.8135303,415.98962,2034-07-31 00:45:01.884,0.25638396,63.96022,0
24.606876,28.186367,20.274433,1.1363257,40.815105,46.765278,29.526424,2.331299,0.041638758,1.3748652,0.023594884,0.032960024,-0.784374,-0.47720104,413.55945,2034-08-31 00:45:01.884,0.22611056,61.70283,0
24.786766,28.665804,22.020252,0.93330705,48.643414,52.904987,33.51203,2.6530128,0.039227538,1.1741191,0.023129355,0.030550346,-0.8702188,0.06761602,410.90607,2034-09-30 00:45:01.884,0.20566837,57.30251,0
25.554867,29.407942,23.480598,0.8147118,54.422615,58.205696,36.526226,3.1253388,0.03895596,1.005795,0.022269718,0.026157781,-0.7219952,0.31636187,409.0743,2034-10-31 00:45:01.884,0.22786954,63.395336,0
26.66456,30.420485,24.528734,0.8110817,56.287956,60.741226,38.493095,3.4251513,0.0392009,0.7937365,0.021809276,0.02554178,-0.4159904,0.5208049,408.83737,2034-11-30 00:45:01.884,0.19980012,56.110012,0
27.627235,31.098333,25.31133,0.82569987,55.50656,61.502842,39.10257,3.5966241,0.038953297,0.499573,0.021505944,0.026190497,-0.10774376,0.6564039,407.92993,2034-12-31 00:45:01.884,0.1996092,55.089256,0
28.355324,31.832132,25.733725,0.7985528,53.452824,60.72605,37.609184,3.5114772,0.039928645,0.8204484,0.021557309,0.030064251,0.19417281,0.66620773,409.65332,2035-01-31 00:45:01.884,0.20534968,55.772568,0
28.93281,32.347897,25.909327,0.73075444,50.318157,59.050175,35.404766,3.1824112,0.04209986,1.7202666,0.021841733,0.042376723,0.53365535,0.43817407,411.596,2035-02-28 00:45:01.884,0.23627813,60.05185,0
28.809055,32.177807,25.6881,0.69065166,48.13378,55.787075,34.55693,2.858715,0.04335896,2.0550225,0.022284979,0.04645019,0.77985907,0.12635718,412.20438,2035-03-31 00:45:01.884,0.24479562,61.918644,0
28.030825,31.515963,24.701849,0.7003635,44.599266,51.643955,33.030415,2.6399822,0.043317877,1.7307004,0.022232046,0.042902928,0.67052734,-0.18566936,414.27304,2035-04-30 00:45:01.884,0.2584525,63.282433,0
26.825909,30.556622,22.934368,0.84398055,39.115196,46.885906,29.85729,2.4716392,0.0431363,1.1417226,0.022057267,0.037963565,0.35267374,-0.57722235,416.39096,2035-05-31 00:45:01.884,0.25901294,63.898643,0
25.663017,29.992079,20.80943,1.0685096,35.716393,43.524292,26.62242,2.463769,0.042415753,0.9277448,0.021895658,0.031056281,-0.07122526,-0.7415469,415.96698,2035-06-30 00:45:01.884,0.24948351,61.944553,0
25.234556,29.871937,20.165653,1.2030984,36.19274,43.400604,25.723396,2.4169025,0.04177028,0.79519475,0.02204746,0.029498382,-0.3453175,-0.6881165,417.67807,2035-07-31 00:45:01.884,0.23767085,62.04717,0
25.118076,29.813812,20.531557,1.1957915,41.02353,47.22536,27.303164,2.5419812,0.040346432,0.6970101,0.022180852,0.028185222,-0.5902609,-0.4680305,416.91016,2035-08-31 00:45:01.884,0.21819869,58.01497,0
25.301662,29.869179,21.478727,1.0657257,46.68195,51.645645,30.573872,2.602854,0.03900251,0.9031377,0.022086222,0.029830474,-0.74484056,-0.1701211,413.86133,2035-09-30 00:45:01.884,0.20951131,57.506172,0
26.14124,30.601162,23.26225,0.9382868,51.970894,56.910656,35.522343,2.6947196,0.038800955,1.2524891,0.021833101,0.031117361,-0.6834887,0.31938156,410.51297,2035-10-31 00:45:01.884,0.20439787,63.220013,0
27.356907,31.528135,24.303265,0.9270151,54.22821,60.204964,37.96889,2.9915354,0.039222967,1.1480346,0.021481093,0.03028214,-0.4532388,0.5573257,409.9695,2035-11-30 00:45:01.884,0.20925412,55.263374,0
27.986147,32.177143,24.903526,0.9721977,52.26436,60.140736,37.239788,3.2005818,0.03948369,0.94246924,0.020950366,0.0306934,-0.14358728,0.64186436,409.8214,2035-12-31 00:45:01.884,0.20329568,54.971054,0
28.589499,32.85085,25.456898,0.9770638,48.19394,59.678474,33.388966,3.5682478,0.039651204,1.137072,0.020038567,0.033565998,0.23828039,0.5775807,410.0076,2036-01-31 00:45:01.884,0.20136194,55.402836,0
